Order Date,Customer ID,Region,Channel,Units Sold,Revenue,Discount %,Profit
2024-01-01,1038,North,Online,20,1027.16,21.8,$177
2024-01-02,1048,East,Partner,17,991.94,4.3,$174
2024-01-03,1069,South,Retail,22,926.21,15.1,$247
2024-01-04,1083,East,Partner,25,1038.16,4.4,$207
2024-01-05,1074,West,Partner,14,1084.64,8.2,$182
2024-01-06,1030,South,Retail,27,1034.15,13.1,$242
2024-01-07,1074,South,Online,31,873.04,16.5,$233
2024-01-08,1060,North,Partner,27,941.0,23.1,$230
2024-01-09,1042,North,Partner,19,948.66,17.9,$226
2024-01-10,1010,South,Retail,24,1012.17,15.9,$224
2024-01-11,1035,East,Online,29,1030.26,8.1,$240
2024-01-12,1024,West,Retail,20,1065.57,3.8,$229
2024-01-13,1025,South,Partner,22,919.5,18.5,$257
2024-01-14,1082,North,Partner,22,1049.35,11.6,$229
2024-01-15,1053,North,Partner,25,1134.3,10.3,$248
2024-01-16,1072,West,Partner,24,894.6,4.2,$245
2024-01-17,1053,North,Retail,23,1147.21,6.1,$268
2024-01-18,1057,South,Online,25,970.49,19.5,$191
2024-01-19,1016,West,Online,12,961.17,12.0,$192
2024-01-20,1030,North,Retail,22,956.6,23.6,$192
2024-01-21,1022,East,Online,17,980.28,5.5,$234
2024-01-22,1022,West,Online,20,944.25,23.2,$231
2024-01-23,1027,North,Partner,21,929.02,19.5,$164
2024-01-24,1018,South,Online,23,1045.71,20.5,$201
2024-01-25,1022,West,Retail,19,964.28,11.4,$224
2024-01-26,1065,North,Online,25,865.17,2.5,$195
2024-01-27,1006,South,Retail,28,933.44,13.9,$141
2024-01-28,1080,East,Retail,22,876.81,11.3,$188
2024-01-29,1049,East,Partner,8,808.22,5.7,$219
2024-01-30,1043,South,Online,18,938.65,5.7,$197
2024-01-31,1026,North,Partner,24,724.7,5.6,$193
2024-02-01,1001,South,Retail,19,867.06,0.4,$206
2024-02-02,1041,South,Retail,23,729.99,23.9,$184
2024-02-03,1079,South,Retail,19,649.63,10.6,$168
2024-02-04,1087,South,Partner,18,698.95,8.4,$162
2024-02-05,1067,West,Online,19,946.25,0.9,$196
2024-02-06,1040,East,Partner,22,748.72,15.7,$184
2024-02-07,1011,South,Online,21,840.53,23.4,$221
2024-02-08,1081,East,Online,27,808.52,9.4,$216
2024-02-09,1064,North,Partner,19,789.58,1.3,$123
2024-02-10,1027,South,Retail,23,837.31,3.7,$212
2024-02-11,1028,South,Online,20,809.74,22.5,$218
2024-02-12,1006,East,Partner,18,1003.94,20.0,$218
2024-02-13,1035,South,Online,29,904.11,10.4,$163
2024-02-14,1050,South,Retail,30,857.79,4.1,$208
2024-02-15,1017,East,Online,15,1218.58,13.4,$238
2024-02-16,1066,South,Partner,16,932.02,0.6,$251
2024-02-17,1074,West,Partner,20,878.01,15.9,$203
2024-02-18,1012,North,Online,28,993.01,22.3,$176
2024-02-19,1067,East,Online,19,1056.24,2.1,$280
2024-02-20,1028,South,Partner,21,1068.6,23.2,$225
2024-02-21,1010,South,Retail,31,1139.42,6.1,$252
2024-02-22,1030,East,Retail,22,1064.13,13.4,$237
2024-02-23,1012,South,Retail,28,1166.62,8.1,$186
2024-02-24,1007,South,Partner,28,1171.21,15.5,$317
2024-02-25,1052,North,Retail,29,1157.28,16.5,$213
2024-02-26,1060,North,Online,18,930.43,15.8,$227
2024-02-27,1079,East,Partner,20,1074.49,19.8,$300
2024-02-28,1086,South,Online,18,956.05,13.4,$157
2024-02-29,1079,East,Retail,25,1147.28,14.3,$220
2024-03-01,1080,West,Partner,17,905.92,0.8,$183
2024-03-02,1004,East,Retail,17,1272.32,19.4,$284
2024-03-03,1088,North,Retail,20,1116.31,7.1,$280
2024-03-04,1045,South,Retail,17,1083.8,0.0,$293
2024-03-05,1016,East,Partner,13,1041.62,23.4,$177
2024-03-06,1042,North,Online,22,1035.26,20.9,$223
2024-03-07,1055,West,Partner,28,1101.03,23.7,$295
2024-03-08,1030,West,Retail,22,1006.88,9.0,$154
2024-03-09,1040,West,Partner,29,973.18,0.6,$204
2024-03-10,1012,South,Online,36,918.44,5.5,$154
2024-03-11,1071,West,Online,28,913.06,23.4,$215
2024-03-12,1015,North,Online,23,938.73,15.1,$181
2024-03-13,1012,South,Partner,20,944.56,23.1,$161
2024-03-14,1081,South,Partner,32,711.53,24.5,$117
2024-03-15,1030,East,Online,31,900.59,17.7,$236
2024-03-16,1034,South,Online,25,832.03,24.0,$186
2024-03-17,1014,North,Online,22,763.67,19.3,$157
2024-03-18,1088,South,Online,17,770.23,20.9,$149
2024-03-19,1003,South,Partner,31,843.43,11.2,$194
2024-03-20,1081,South,Partner,22,815.43,18.4,$218
2024-03-21,1016,North,Partner,30,829.38,1.0,$219
2024-03-22,1024,South,Partner,25,864.49,24.9,$155
2024-03-23,1013,South,Online,22,828.48,22.3,$187
2024-03-24,1002,East,Retail,21,949.21,12.1,$171
2024-03-25,1064,East,Retail,18,988.48,11.5,$181
2024-03-26,1002,South,Retail,14,1116.94,24.5,$301
2024-03-27,1000,South,Partner,17,1032.67,17.6,$166
2024-03-28,1043,East,Online,24,925.3,24.7,$204
2024-03-29,1010,West,Online,32,1030.64,24.6,$250
2024-03-30,1046,East,Retail,26,995.08,4.6,$238
2024-03-31,1052,West,Partner,23,981.77,21.6,$169
2024-04-01,1020,West,Online,27,1048.91,13.4,$181
2024-04-02,1045,North,Retail,24,1130.68,1.6,$241
2024-04-03,1065,West,Partner,15,1040.85,19.8,$266
2024-04-04,1042,North,Partner,15,1043.61,11.4,$159
2024-04-05,1047,South,Partner,19,1111.7,15.7,$298
2024-04-06,1047,East,Online,25,1046.82,1.1,$206
2024-04-07,1086,East,Retail,26,1159.97,13.4,$218
2024-04-08,1084,North,Retail,15,1159.7,24.5,$286
2024-04-09,1057,East,Partner,23,1025.68,1.1,$209
2024-04-10,1076,North,Online,16,1188.58,2.1,$208
2024-04-11,1051,South,Online,19,1222.57,6.0,$299
2024-04-12,1002,West,Retail,12,1136.66,24.3,$211
2024-04-13,1059,South,Retail,9,1160.83,23.8,$278
2024-04-14,1052,East,Partner,24,1177.75,17.6,$298
2024-04-15,1072,East,Retail,22,967.18,19.2,$263
2024-04-16,1036,West,Retail,22,1202.67,9.5,$279
2024-04-17,1061,East,Retail,17,983.84,2.9,$245
2024-04-18,1026,North,Online,20,1047.61,10.3,$211
2024-04-19,1000,South,Online,20,1071.15,1.0,$170
2024-04-20,1004,South,Retail,25,1026.57,13.3,$170
2024-04-21,1052,North,Retail,21,1093.11,21.4,$253
2024-04-22,1046,South,Online,23,1098.3,8.8,$298
2024-04-23,1007,East,Online,23,881.79,23.7,$145
2024-04-24,1059,West,Partner,21,911.96,6.6,$170
2024-04-25,1027,West,Partner,30,913.81,2.8,$226
2024-04-26,1017,North,Partner,26,945.4,6.0,$239
2024-04-27,1011,North,Retail,20,931.95,8.1,$200
2024-04-28,1042,East,Partner,22,851.51,13.8,$137
2024-04-29,1029,North,Retail,18,1184.45,19.9,$274
2024-04-30,1081,North,Retail,20,953.39,17.2,$185
2024-05-01,1031,East,Partner,22,936.06,22.3,$159
2024-05-02,1053,North,Online,11,1076.74,19.3,$174
2024-05-03,1012,East,Online,21,861.12,24.2,$165
2024-05-04,1074,West,Partner,27,956.46,8.2,$240
2024-05-05,1055,North,Partner,24,803.28,22.3,$163
2024-05-06,1065,South,Online,27,948.06,4.9,$201
2024-05-07,1061,East,Retail,17,892.93,9.6,$200
2024-05-08,1002,West,Retail,23,1075.16,2.9,$214
2024-05-09,1015,North,Partner,23,772.92,16.9,$137
2024-05-10,1054,North,Partner,19,1030.37,1.1,$210
2024-05-11,1027,West,Partner,23,1105.85,2.8,$250
2024-05-12,1069,West,Partner,22,1173.44,3.4,$196
2024-05-13,1076,North,Partner,21,1010.12,5.1,$165
2024-05-14,1053,South,Retail,19,1190.69,8.1,$196
2024-05-15,1034,East,Partner,26,1147.81,21.4,$318
2024-05-16,1030,West,Partner,19,1150.37,12.6,$230
2024-05-17,1051,North,Partner,18,1106.67,16.6,$192
2024-05-18,1028,East,Retail,23,1239.57,13.3,$316
2024-05-19,1083,West,Partner,21,1097.97,15.9,$231
2024-05-20,1001,South,Retail,29,1096.6,3.7,$192
2024-05-21,1024,North,Partner,20,1161.92,21.3,$269
2024-05-22,1030,North,Partner,19,1064.28,4.3,$169
2024-05-23,1088,North,Retail,23,1259.57,9.9,$235
2024-05-24,1026,West,Partner,24,1057.38,20.7,$180
2024-05-25,1053,North,Partner,25,999.38,13.8,$194
2024-05-26,1081,North,Retail,19,1268.59,11.1,$235
2024-05-27,1082,South,Online,36,1163.96,14.9,$310
2024-05-28,1064,North,Online,20,1189.97,18.6,$240
2024-05-29,1006,North,Online,22,1064.33,9.0,$181
2024-05-30,1004,North,Online,26,1117.07,14.4,$184
2024-05-31,1088,South,Online,28,946.34,22.1,$173
2024-06-01,1055,East,Retail,19,1213.4,24.9,$264
2024-06-02,1067,South,Retail,20,1140.67,11.2,$177
2024-06-03,1061,North,Partner,17,987.53,3.0,$168
2024-06-04,1055,South,Online,26,1087.2,0.9,$242
2024-06-05,1060,East,Partner,29,1197.41,4.3,$265
2024-06-06,1031,West,Retail,18,1108.68,7.2,$269
2024-06-07,1053,West,Partner,22,1003.15,6.7,$219
2024-06-08,1015,North,Retail,18,1083.88,13.4,$225
2024-06-09,1070,North,Partner,19,895.6,20.5,$223
2024-06-10,1058,West,Partner,23,866.95,3.3,$222
2024-06-11,1070,West,Online,20,835.25,5.8,$143
2024-06-12,1004,South,Online,26,1109.08,18.5,$187
2024-06-13,1070,East,Retail,23,1034.53,11.3,$286
2024-06-14,1053,West,Retail,24,932.91,12.9,$167
2024-06-15,1048,East,Online,22,1137.57,4.3,$232
2024-06-16,1005,West,Partner,16,943.36,6.3,$148
2024-06-17,1030,North,Online,27,930.13,12.8,$188
2024-06-18,1028,North,Retail,19,1096.17,5.6,$230
2024-06-19,1019,North,Online,30,1022.69,13.5,$199
2024-06-20,1004,North,Online,33,1061.21,2.6,$284
2024-06-21,1083,West,Online,24,1190.49,17.0,$289
2024-06-22,1068,North,Partner,22,1225.39,14.2,$342
2024-06-23,1049,East,Online,20,1126.96,20.2,$278
2024-06-24,1085,North,Retail,25,1115.37,8.2,$206
2024-06-25,1005,South,Partner,23,981.71,20.0,$194
2024-06-26,1029,South,Online,26,1148.6,2.5,$238
2024-06-27,1038,North,Online,25,1098.13,15.0,$273
2024-06-28,1066,South,Online,39,1124.1,22.2,$188
2024-06-29,1026,South,Partner,22,1156.31,24.4,$283
2024-06-30,1060,South,Retail,13,1266.19,17.7,$215
2024-07-01,1053,East,Retail,19,1047.36,17.3,$291
2024-07-02,1068,North,Retail,24,1225.78,13.7,$285
2024-07-03,1038,North,Online,12,1378.91,20.6,$376
2024-07-04,1014,South,Retail,24,1209.2,15.2,$306
2024-07-05,1068,South,Partner,22,1180.09,24.0,$231
2024-07-06,1009,North,Online,20,1314.37,8.0,$340
2024-07-07,1031,West,Retail,25,1353.58,20.0,$274
2024-07-08,1076,West,Online,22,1192.4,8.1,$267
2024-07-09,1021,North,Online,20,1167.52,5.4,$222
2024-07-10,1081,South,Partner,17,1321.27,18.3,$321
2024-07-11,1034,North,Retail,15,1251.7,23.0,$222
2024-07-12,1056,South,Retail,23,1198.42,18.8,$272
2024-07-13,1017,North,Online,25,1393.07,11.1,$387
2024-07-14,1032,South,Retail,17,1176.64,4.0,$257
2024-07-15,1020,West,Online,20,1133.15,8.3,$298
2024-07-16,1083,South,Partner,21,1058.98,10.3,$295
2024-07-17,1050,East,Retail,18,1150.22,22.9,$277
2024-07-18,1087,East,Partner,25,1151.34,22.3,$320
2024-07-19,1085,East,Retail,17,7800.0,1.6,$1916
2024-07-20,1043,North,Partner,19,120.0,14.2,$32
2024-07-21,1080,East,Partner,17,1111.83,21.2,$195
2024-07-22,1080,West,Retail,30,885.18,24.3,$235
2024-07-23,1043,East,Partner,20,919.78,3.6,$142
2024-07-24,1032,North,Retail,21,1002.88,12.5,$206
2024-07-25,1075,East,Retail,20,1029.95,18.2,$249
2024-07-26,1039,East,Retail,20,963.4,8.6,$191
2024-07-27,1085,East,Partner,23,1089.06,8.1,$222
2024-07-28,1085,North,Online,15,873.02,4.7,$152
2024-07-29,1016,West,Retail,23,928.93,13.7,$233
2024-07-30,1059,West,Online,22,1091.55,14.1,$181
2024-07-31,1036,South,Online,31,1054.48,6.0,$222
2024-08-01,1079,East,Online,24,1058.52,2.3,$162
2024-08-02,1014,North,Partner,29,1146.95,8.5,$288
2024-08-03,1040,West,Online,24,1204.31,1.0,$193
2024-08-04,1085,West,Online,13,1119.83,11.3,$296
2024-08-05,1052,East,Online,22,1177.02,9.5,$192
2024-08-06,1044,East,Partner,20,1298.41,10.1,$311
2024-08-07,1028,North,Retail,26,1323.95,13.2,$351
2024-08-08,1079,South,Retail,19,1143.7,5.1,$190
2024-08-09,1064,North,Online,26,1291.16,4.1,$247
2024-08-10,1045,East,Partner,16,1091.45,15.3,$167
2024-08-11,1034,North,Retail,24,1172.88,20.2,$249
2024-08-12,1073,West,Retail,22,1188.91,0.8,$181
2024-08-13,1067,South,Partner,27,1083.3,21.5,$274
2024-08-14,1056,South,Partner,26,1299.13,18.9,$218
2024-08-15,1075,North,Retail,16,1083.95,3.6,$251
2024-08-16,1050,East,Online,16,1357.56,21.2,$239
2024-08-17,1059,West,Retail,22,1248.26,6.1,$346
2024-08-18,1004,East,Partner,21,1217.02,19.8,$300
2024-08-19,1034,North,Online,22,1194.02,9.2,$191
2024-08-20,1003,East,Retail,27,1260.47,13.2,$290
2024-08-21,1050,North,Partner,28,1184.13,19.6,$317
2024-08-22,1057,West,Partner,19,1252.51,10.5,$209
2024-08-23,1082,East,Partner,23,1238.01,1.9,$235
2024-08-24,1034,North,Retail,22,1207.67,13.2,$275
2024-08-25,1063,South,Partner,12,1250.31,15.2,$270
2024-08-26,1039,East,Online,17,1247.37,5.2,$242
2024-08-27,1000,North,Partner,22,1324.84,19.4,$360
2024-08-28,1006,West,Partner,16,1145.14,15.8,$209
2024-08-29,1048,South,Online,17,1183.19,21.6,$247
2024-08-30,1032,West,Retail,24,1040.82,6.6,$271
2024-08-31,1082,West,Online,20,1313.49,14.3,$256
2024-09-01,1011,North,Online,15,1211.31,13.8,$289
2024-09-02,1077,East,Online,26,1046.05,10.3,$213
2024-09-03,1069,South,Retail,31,1207.7,4.3,$308
